Date,Download,Upload,Ping
2017-10-29T23:59:08.169063Z,19125646.9520719,10098313.80755896 ,22.418
2017-10-30T00:01:10.218244Z,30725084.898469135,8819850.511932591 ,24.598
2017-10-30T00:12:42.449196Z,19053573.843897935,8195363.266677548 ,31.687
2017-10-30T00:38:36.162310Z,18701620.809736192,10678773.501799094,24.159
2017-10-30T01:01:42.083384Z,30986451.28063121,2903041.3772012517,18.526
2017-10-30T01:39:58.407190Z,14390015.866354192,10468996.308668427,22.475
2017-10-30T01:51:50.486698Z,21395326.13965036,9646678.408874398,19.389
2017-10-30T02:06:15.919705Z,21107586.142618094,6655520.743758322,19.192
2017-10-30T02:15:02.330450Z,14456741.733592533,5151875.338875795,22.666
2017-10-30T02:45:02.076272Z,20999680.40671252,8824706.676436432,20.933
2017-10-30T03:15:00.747004Z,25087119.580830555,10215411.22936881,19.226
2017-10-30T03:45:00.619930Z,23352928.405127335,9799332.441484813,21.678
2017-10-30T04:15:00.679421Z,34702998.889505304,10285758.667163914,19.08
2017-10-30T04:45:00.622283Z,32881281.109167438,8781495.009848494,23.492
2017-10-30T05:15:00.823588Z,72720288.76594454,10550463.819661278,17.481
2017-10-30T05:45:00.604210Z,100913069.65459847,10281569.520899171,19.76
2017-10-30T06:15:00.650180Z,82361793.4386333,10272340.642245771,18.037
2017-10-30T06:45:00.658647Z,101767578.14280818,10215515.016969552,17.763
2017-10-30T07:15:00.601665Z,98028580.06207396,10215505.302395469,19.801
2017-10-30T07:45:00.701283Z,88417194.78818819,10074391.504734462,54.526
2017-10-30T08:15:00.665695Z,85768372.7392331,10607856.665185379,17.67
2017-10-30T08:45:00.815581Z,77670279.84796585,10174484.403572863,48.376
2017-10-30T09:15:00.653814Z,89595330.80190875,10162441.894995831,21.911
2017-10-30T09:45:00.694237Z,94843126.48277546,10389893.134546937,62.752
2017-10-30T10:15:00.632349Z,102374101.64277236,10173186.09847871,31.734
2017-10-30T10:45:00.804959Z,72905492.09593971,10121411.344937755,47.076
2017-10-30T11:15:00.790447Z,74637566.10254934,7760941.068640767,68.275
2017-10-30T11:45:00.815282Z,90511530.07735857,10076224.902885873,30.242
2017-10-30T12:15:00.766452Z,79947125.1037834,10035949.601758806,37.567
2017-10-30T12:45:00.770342Z,95096339.31099828,9503405.568020768,82.356
2017-10-30T13:15:00.692653Z,97007007.24424295,9208591.307485843,24.13
2017-10-30T13:45:00.750118Z,69892450.38538024,6419164.105873006,50.557
2017-10-30T14:15:00.762360Z,103073348.94962436,10540060.736010902,37.694
